yourlist:M20191118DA437993067D6F64326E5E763500BDED055040M	isomap:M20191118DA437993067D6F64326E5E763500BDED055040M	Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
NM_031217		Q8NI77	KI18A_HUMAN	Kinesin-like protein KIF18A (Marrow stromal KIF18A) (MS-KIF18A)	GO:0000070; GO:0000776; GO:0001726; GO:0003777; GO:0003779; GO:0005524; GO:0005623; GO:0005634; GO:0005737; GO:0005815; GO:0005828; GO:0005829; GO:0005871; GO:0005874; GO:0005901; GO:0006890; GO:0007018; GO:0007019; GO:0007080; GO:0007140; GO:0008017; GO:0008574; GO:0015031; GO:0015630; GO:0016887; GO:0019886; GO:0051010; GO:0061673; GO:0070463; GO:0070507; GO:0071392; GO:0072520; GO:1990023	caveola [GO:0005901]; cell [GO:0005623]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinesin complex [GO:0005871]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; microtubule organizing center [GO:0005815]; mitotic spindle astral microtubule [GO:0061673]; mitotic spindle midzone [GO:1990023]; nucleus [GO:0005634]; ruffle [GO:0001726]; actin binding [GO:0003779]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule plus-end binding [GO:0051010]; tubulin-dependent ATPase activity [GO:0070463]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; cellular response to estradiol stimulus [GO:0071392]; male meiotic nuclear division [GO:0007140]; microtubule depolymerization [GO:0007019]; microtubule-based movement [GO:0007018]; mitotic metaphase plate congression [GO:0007080]; mitotic sister chromatid segregation [GO:0000070]; protein transport [GO:0015031]; regulation of microtubule cytoskeleton organization [GO:0070507]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; seminiferous tubule development [GO:0072520]	KIF18A OK/SW-cl.108
NM_014791	NM_014791 -> Q14680-1	Q14680	MELK_HUMAN	Maternal embryonic leucine zipper kinase (hMELK) (EC 2.7.11.1) (Protein kinase Eg3) (pEg3 kinase) (Protein kinase PK38) (hPK38) (Tyrosine-protein kinase MELK) (EC 2.7.10.2)	GO:0000086; GO:0004674; GO:0004715; GO:0005509; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0005938; GO:0006468; GO:0006915; GO:0008283; GO:0008289; GO:0008631; GO:0016020; GO:0030097; GO:0035556; GO:0043065; GO:0046777; GO:0061351	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; lipid binding [GO:0008289]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein serine/threonine kinase activity [GO:0004674]; apoptotic process [GO:0006915]; cell population proliferation [GO:0008283]; G2/M transition of mitotic cell cycle [GO:0000086]; hemopoiesis [GO:0030097]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; neural precursor cell proliferation [GO:0061351]; positive regulation of apoptotic process [GO:0043065]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]	MELK KIAA0175
NM_014783	NM_014783 -> Q6P4F7-1	Q6P4F7	RHGBA_HUMAN	Rho GTPase-activating protein 11A (Rho-type GTPase-activating protein 11A)	GO:0005096; GO:0005829; GO:0007165; GO:0051056	cytosol [GO:0005829]; GTPase activator activity [GO:0005096]; regulation of small GTPase mediated signal transduction [GO:0051056]; signal transduction [GO:0007165]	ARHGAP11A KIAA0013
NM_006101		A8K031	A8K031_HUMAN	Kinetochore associated 2, isoform CRA_a (NDC80 homolog, kinetochore complex component (S. cerevisiae)) (cDNA FLJ77925, highly similar to Homo sapiens kinetochore associated 2, mRNA) (cDNA, FLJ93683, Homo sapiens kinetochore associated 2 (KNTC2), mRNA)	GO:0005623; GO:0005654; GO:0005813; GO:0031262; GO:0051315	cell [GO:0005623]; centrosome [GO:0005813]; Ndc80 complex [GO:0031262]; nucleoplasm [GO:0005654]; attachment of mitotic spindle microtubules to kinetochore [GO:0051315]	KNTC2 NDC80 hCG_38410
NM_006101		O14777	NDC80_HUMAN	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	GO:0000070; GO:0000132; GO:0000278; GO:0000775; GO:0000776; GO:0000777; GO:0000778; GO:0000942; GO:0005623; GO:0005634; GO:0005654; GO:0005813; GO:0005829; GO:0007052; GO:0007059; GO:0008608; GO:0016020; GO:0031262; GO:0042802; GO:0051301; GO:0051310; GO:0051315; GO:0051383; GO:0090267; GO:1905342	cell [GO:0005623]; centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; condensed chromosome kinetochore [GO:0000777]; condensed nuclear chromosome kinetochore [GO:0000778]; condensed nuclear chromosome outer kinetochore [GO:0000942]; cytosol [GO:0005829]; kinetochore [GO:0000776]; membrane [GO:0016020]; Ndc80 complex [GO:0031262]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; identical protein binding [GO:0042802]; attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; establishment of mitotic spindle orientation [GO:0000132]; kinetochore organization [GO:0051383]; metaphase plate congression [GO:0051310]; mitotic cell cycle [GO:0000278]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle organization [GO:0007052]; positive regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090267]; positive regulation of protein localization to kinetochore [GO:1905342]	NDC80 HEC HEC1 KNTC2
NM_005708		Q9Y625	GPC6_HUMAN	Glypican-6 [Cleaved into: Secreted glypican-6]	GO:0001523; GO:0005576; GO:0005615; GO:0005634; GO:0005796; GO:0005886; GO:0006024; GO:0006027; GO:0009966; GO:0009986; GO:0016477; GO:0043202; GO:0045202; GO:0046658; GO:0062023; GO:0098696; GO:0098978; GO:0099560; GO:1904929; GO:1905475; GO:1905606	anchored component of plasma membrane [GO:0046658]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synapse [GO:0045202]; coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway [GO:1904929]; cell migration [GO:0016477]; glycosaminoglycan biosynthetic process [GO:0006024]; glycosaminoglycan catabolic process [GO:0006027]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of presynapse assembly [GO:1905606]; regulation of protein localization to membrane [GO:1905475]; regulation of signal transduction [GO:0009966]; retinoid metabolic process [GO:0001523]; synaptic membrane adhesion [GO:0099560]	GPC6 UNQ369/PRO705
NM_007174	NM_007174 -> O14578-1	O14578	CTRO_HUMAN	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	GO:0000086; GO:0000278; GO:0000281; GO:0001889; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007030; GO:0008064; GO:0015629; GO:0016020; GO:0017124; GO:0018107; GO:0030165; GO:0030496; GO:0030866; GO:0031032; GO:0031985; GO:0032154; GO:0032467; GO:0035556; GO:0043025; GO:0046872; GO:0048699; GO:0051402; GO:0097110	actin cytoskeleton [GO:0015629]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; Golgi cisterna [GO:0031985]; membrane [GO:0016020]; midbody [GO:0030496]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; PDZ domain binding [GO:0030165]; protein serine/threonine kinase activity [GO:0004674]; scaffold protein binding [GO:0097110]; SH3 domain binding [GO:0017124]; actomyosin structure organization [GO:0031032]; cortical actin cytoskeleton organization [GO:0030866]; G2/M transition of mitotic cell cycle [GO:0000086]; generation of neurons [GO:0048699]; Golgi organization [GO:0007030]; intracellular signal transduction [GO:0035556]; liver development [GO:0001889]; mitotic cell cycle [GO:0000278]; mitotic cytokinesis [GO:0000281]; neuron apoptotic process [GO:0051402]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of cytokinesis [GO:0032467]; regulation of actin polymerization or depolymerization [GO:0008064]	CIT CRIK KIAA0949 STK21
NM_012112		Q643R0	Q643R0_HUMAN	HCTP4 (TPX2, microtubule-associated, homolog (Xenopus laevis), isoform CRA_b) (cDNA, FLJ92922)	GO:0005654; GO:0005874; GO:0019901; GO:0032147; GO:0043203; GO:0045171; GO:0060236; GO:0061676; GO:0072686; GO:0090307	axon hillock [GO:0043203]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; importin-alpha family protein binding [GO:0061676]; protein kinase binding [GO:0019901]; activation of protein kinase activity [GO:0032147]; mitotic spindle assembly [GO:0090307]; regulation of mitotic spindle organization [GO:0060236]	HCTP4 TPX2 hCG_38821
NM_012112	NM_012112 -> Q9ULW0-1	Q9ULW0	TPX2_HUMAN	Targeting protein for Xklp2 (Differentially expressed in cancerous and non-cancerous lung cells 2) (DIL-2) (Hepatocellular carcinoma-associated antigen 519) (Hepatocellular carcinoma-associated antigen 90) (Protein fls353) (Restricted expression proliferation-associated protein 100) (p100)	GO:0000278; GO:0000922; GO:0005634; GO:0005654; GO:0005819; GO:0005829; GO:0005874; GO:0006915; GO:0010389; GO:0015630; GO:0019901; GO:0032147; GO:0043203; GO:0045171; GO:0051301; GO:0060236; GO:0061676; GO:0072686; GO:0090307; GO:1901796	axon hillock [GO:0043203]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle pole [GO:0000922]; importin-alpha family protein binding [GO:0061676]; protein kinase binding [GO:0019901]; activation of protein kinase activity [GO:0032147]; apoptotic process [GO:0006915]; cell division [GO:0051301]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly [GO:0090307]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of mitotic spindle organization [GO:0060236]; regulation of signal transduction by p53 class mediator [GO:1901796]	TPX2 C20orf1 C20orf2 DIL2 HCA519
NM_018290	NM_018290 -> Q96G03-1	Q96G03	PGM2_HUMAN	Phosphoglucomutase-2 (PGM 2) (EC 5.4.2.2) (Glucose phosphomutase 2) (Phosphodeoxyribomutase) (Phosphopentomutase) (EC 5.4.2.7)	GO:0000287; GO:0004614; GO:0005576; GO:0005829; GO:0005978; GO:0005980; GO:0006006; GO:0006098; GO:0008973; GO:0019388; GO:0034774; GO:0043312; GO:0046386; GO:0070062; GO:1904813	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]; magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; phosphopentomutase activity [GO:0008973]; deoxyribose phosphate catabolic process [GO:0046386]; galactose catabolic process [GO:0019388]; glucose metabolic process [GO:0006006]; glycogen biosynthetic process [GO:0005978]; glycogen catabolic process [GO:0005980]; neutrophil degranulation [GO:0043312]; pentose-phosphate shunt [GO:0006098]	PGM2 MSTP006
NM_016343		P49454	CENPF_HUMAN	Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)	GO:0000278; GO:0000775; GO:0000776; GO:0000922; GO:0000940; GO:0001822; GO:0003682; GO:0005623; GO:0005634; GO:0005635; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0005829; GO:0005930; GO:0007059; GO:0007094; GO:0007517; GO:0008022; GO:0008134; GO:0008283; GO:0010389; GO:0015031; GO:0016202; GO:0016363; GO:0021591; GO:0030154; GO:0030496; GO:0036064; GO:0042493; GO:0042803; GO:0045120; GO:0045892; GO:0048471; GO:0051301; GO:0051310; GO:0051382; GO:0051726; GO:0070840; GO:0071897; GO:0097539	axoneme [GO:0005930]; cell [GO:0005623]; centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; ciliary basal body [GO:0036064]; ciliary transition fiber [GO:0097539]; condensed chromosome outer kinetochore [GO:0000940]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; midbody [GO:0030496]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle pole [GO:0000922]; chromatin binding [GO:0003682]; dynein complex binding [GO:0070840]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; transcription factor binding [GO:0008134]; cell differentiation [GO:0030154]; cell division [GO:0051301]; cell population proliferation [GO:0008283]; chromosome segregation [GO:0007059]; DNA biosynthetic process [GO:0071897]; kidney development [GO:0001822]; kinetochore assembly [GO:0051382]; metaphase plate congression [GO:0051310]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly checkpoint [GO:0007094]; muscle organ development [GO:0007517]; negative regulation of transcription, DNA-templated [GO:0045892]; protein transport [GO:0015031]; regulation of cell cycle [GO:0051726]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of striated muscle tissue development [GO:0016202]; response to drug [GO:0042493]; ventricular system development [GO:0021591]	CENPF
NM_016448	NM_016448 -> Q9NZJ0-1	Q9NZJ0	DTL_HUMAN	Denticleless protein homolog (DDB1- and CUL4-associated factor 2) (Lethal(2) denticleless protein homolog) (Retinoic acid-regulated nuclear matrix-associated protein)	GO:0000209; GO:0005634; GO:0005654; GO:0005694; GO:0005730; GO:0005813; GO:0005829; GO:0006260; GO:0006511; GO:0006513; GO:0006974; GO:0009411; GO:0010971; GO:0019985; GO:0031464; GO:0031465; GO:0031965; GO:0042769; GO:0043687; GO:0045732; GO:0048511; GO:0051726; GO:0072425; GO:0080008	centrosome [GO:0005813]; chromosome [GO:0005694]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; Cul4B-RING E3 ubiquitin ligase complex [GO:0031465]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cellular response to DNA damage stimulus [GO:0006974]; DNA damage response, detection of DNA damage [GO:0042769]; DNA replication [GO:0006260]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of protein catabolic process [GO:0045732]; post-translational protein modification [GO:0043687]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; regulation of cell cycle [GO:0051726]; response to UV [GO:0009411]; rhythmic process [GO:0048511]; signal transduction involved in G2 DNA damage checkpoint [GO:0072425]; translesion synthesis [GO:0019985]; ubiquitin-dependent protein catabolic process [GO:0006511]	DTL CDT2 CDW1 DCAF2 L2DTL RAMP
NM_003384		Q99986	VRK1_HUMAN	Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1)	GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005795; GO:0005819; GO:0005829; GO:0006468; GO:0007077; GO:0007084; GO:0018105; GO:0019901; GO:0031493; GO:0035175; GO:0043987; GO:0046777; GO:0051301; GO:0072354; GO:0072355; GO:0090166	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi stack [GO:0005795]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; ATP binding [GO:0005524]; histone kinase activity (H3-S10 specific) [GO:0035175]; histone kinase activity (H3-T3 specific) [GO:0072354]; nucleosomal histone binding [GO:0031493]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; cell division [GO:0051301]; Golgi disassembly [GO:0090166]; histone H3-S10 phosphorylation [GO:0043987]; histone H3-T3 phosphorylation [GO:0072355]; mitotic nuclear envelope disassembly [GO:0007077]; mitotic nuclear envelope reassembly [GO:0007084]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]	VRK1
NM_014708	NM_014708 -> P50748-1	P50748	KNTC1_HUMAN	Kinetochore-associated protein 1 (Rough deal homolog) (HsROD) (Rod) (hRod)	GO:0000777; GO:0000922; GO:0005634; GO:0005828; GO:0005829; GO:0005886; GO:0007093; GO:0007096; GO:0015629; GO:0051301; GO:0065003; GO:1990423	actin cytoskeleton [GO:0015629]; condensed chromosome kinetochore [GO:0000777]; cytosol [GO:0005829]; kinetochore microtubule [GO:0005828]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; RZZ complex [GO:1990423]; spindle pole [GO:0000922]; cell division [GO:0051301]; mitotic cell cycle checkpoint [GO:0007093]; protein-containing complex assembly [GO:0065003]; regulation of exit from mitosis [GO:0007096]	KNTC1 KIAA0166
NM_004701		O95067	CCNB2_HUMAN	G2/mitotic-specific cyclin-B2	GO:0000079; GO:0000086; GO:0000307; GO:0001701; GO:0005634; GO:0005737; GO:0005813; GO:0005829; GO:0006468; GO:0007077; GO:0015630; GO:0016020; GO:0016538; GO:0019901; GO:0040008; GO:0043029; GO:0044772; GO:0045296; GO:0048538; GO:0051301; GO:0051726	centrosome [GO:0005813]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; nucleus [GO:0005634]; cadherin binding [GO:0045296]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]; cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; in utero embryonic development [GO:0001701]; mitotic cell cycle phase transition [GO:0044772]; mitotic nuclear envelope disassembly [GO:0007077]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of growth [GO:0040008]; T cell homeostasis [GO:0043029]; thymus development [GO:0048538]	CCNB2
