Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
A0A1S3R0L4	A0A1S3R0L4_SALSA	nesprin-2-like isoform X4	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
A0A1S3R0X0	A0A1S3R0X0_SALSA	nesprin-1-like isoform X13	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
A0A1S3R1G7	A0A1S3R1G7_SALSA	nesprin-2-like isoform X5	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
A0A1S3R1J2	A0A1S3R1J2_SALSA	nesprin-2-like isoform X7	GO:0007165	signal transduction [GO:0007165]	LOC106599102
A0A1S3R1Q8	A0A1S3R1Q8_SALSA	nesprin-2-like isoform X2	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
A0A1S3R203	A0A1S3R203_SALSA	nesprin-2-like isoform X10 (nesprin-2-like isoform X11)	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
A0A1S3R228	A0A1S3R228_SALSA	nesprin-2-like isoform X12	GO:0007165; GO:0016021	integral component of membrane [GO:0016021]; signal transduction [GO:0007165]	LOC106599102
F5CSZ4	F5CSZ4_SALSA	Estrogen receptor beta 2 (estrogen receptor beta 2 isoform X1)	GO:0003700; GO:0005496; GO:0005634; GO:0008270; GO:0030284; GO:0030520; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; estrogen receptor activity [GO:0030284]; sequence-specific DNA binding [GO:0043565]; steroid binding [GO:0005496]; zinc ion binding [GO:0008270]; intracellular estrogen receptor signaling pathway [GO:0030520]	LOC100846972
A0A1S3RC63	A0A1S3RC63_SALSA	actin, alpha cardiac muscle 1	GO:0005524; GO:0005737; GO:0005856	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]	actc1
A0A1S3RCI6	A0A1S3RCI6_SALSA	tetratricopeptide repeat protein 6 isoform X1			ttc6
A0A1S3RE75	A0A1S3RE75_SALSA	tetratricopeptide repeat protein 6 isoform X2			ttc6
A0A1S3RCJ7	A0A1S3RCJ7_SALSA	hepatocyte nuclear factor 3-alpha	GO:0003700; GO:0005634; GO:0008134; GO:0019904; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; protein domain specific binding [GO:0019904]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]	foxa1
A0A1S3RD04	A0A1S3RD04_SALSA	dapper homolog 1			dact1
A0A1S3RD29	A0A1S3RD29_SALSA	Galectin	GO:0030246	carbohydrate binding [GO:0030246]	LOC106602243
A0A1S3RDP5	A0A1S3RDP5_SALSA	Galectin	GO:0030246	carbohydrate binding [GO:0030246]	LOC106602243
A0A1S3REF8	A0A1S3REF8_SALSA	Galectin	GO:0030246	carbohydrate binding [GO:0030246]	LOC106602243
A0A1S3REG2	A0A1S3REG2_SALSA	Galectin	GO:0030246	carbohydrate binding [GO:0030246]	LOC106602243
A0A1S3RDT3	A0A1S3RDT3_SALSA	TATA box-binding protein-like protein 2	GO:0003677; GO:0006352	DNA binding [GO:0003677]; DNA-templated transcription, initiation [GO:0006352]	LOC106602273
C0H9Y7	C0H9Y7_SALSA	HHIP-like protein 1	GO:0003824; GO:0005044; GO:0016020	membrane [GO:0016020]; catalytic activity [GO:0003824]; scavenger receptor activity [GO:0005044]	HIPL1 hipl1
A0A1S3RFE5	A0A1S3RFE5_SALSA	gamma-aminobutyric acid receptor subunit rho-2-like isoform X2	GO:0004890; GO:0005230; GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; GABA-A receptor activity [GO:0004890]	LOC106602450
A0A1S3RFP4	A0A1S3RFP4_SALSA	gamma-aminobutyric acid receptor subunit rho-2-like isoform X1	GO:0004890; GO:0005230; GO:0005886; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; extracellular ligand-gated ion channel activity [GO:0005230]; GABA-A receptor activity [GO:0004890]	LOC106602450
A0A0G3BAW3	A0A0G3BAW3_SALSA	Iodothyronine deiodinase	GO:0004800; GO:0005623; GO:0042446; GO:0045454	cell [GO:0005623]; thyroxine 5'-deiodinase activity [GO:0004800]; cell redox homeostasis [GO:0045454]; hormone biosynthetic process [GO:0042446]	LOC106603085
A0A1S3RV62	A0A1S3RV62_SALSA	ubiquitin domain-containing protein 1-like isoform X1			LOC106605260
A0A1S3RV71	A0A1S3RV71_SALSA	ubiquitin domain-containing protein 1-like isoform X3			LOC106605260
A0A1S3RV74	A0A1S3RV74_SALSA	ubiquitin domain-containing protein 1-like isoform X2			LOC106605260
A0A1S3RUX6	A0A1S3RUX6_SALSA	Sulfotransferase (EC 2.8.2.-)	GO:0008146	sulfotransferase activity [GO:0008146]	LOC106604920
B5XFC3	B5XFC3_SALSA	Tumor-associated calcium signal transducer 2 precursor	GO:0016021	integral component of membrane [GO:0016021]	TACD2 tacd2
A0A1S3RW83	A0A1S3RW83_SALSA	adhesion G protein-coupled receptor E2-like	GO:0005509	calcium ion binding [GO:0005509]	LOC106605174
A0A1S3RVS2	A0A1S3RVS2_SALSA	uncharacterized protein LOC106605369 isoform X1			LOC106605369
A0A1S3RVS8	A0A1S3RVS8_SALSA	uncharacterized protein LOC106605369 isoform X2			LOC106605369
A0A1S3SCW1	A0A1S3SCW1_SALSA	Pentaxin (Pentraxin)	GO:0005576; GO:0046872	extracellular region [GO:0005576]; metal ion binding [GO:0046872]	LOC106608633
P79905	P79905_SALSA	Pentaxin (Pentraxin)	GO:0005576; GO:0046872	extracellular region [GO:0005576]; metal ion binding [GO:0046872]	LOC100136583
A0A1S3S028	A0A1S3S028_SALSA	Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Very long chain 3-ketoacyl-CoA synthase 6) (Very long chain 3-oxoacyl-CoA synthase 6)	GO:0005789; GO:0006636; GO:0009922; GO:0016021; GO:0019367; GO:0034625; GO:0035338; GO:0042761; GO:0102336; GO:0102337; GO:0102338; GO:0102756	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; 3-oxo-arachidoyl-CoA synthase activity [GO:0102336]; 3-oxo-cerotoyl-CoA synthase activity [GO:0102337]; 3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]; fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]	LOC106606039 ELOVL6
A0A1S3RZC5	A0A1S3RZC5_SALSA	uncharacterized protein LOC106606023 isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC106606023
A0A1S3RZD2	A0A1S3RZD2_SALSA	uncharacterized protein LOC106606023 isoform X2			LOC106606023
A0A1S3S018	A0A1S3S018_SALSA	uncharacterized protein LOC106606023 isoform X3	GO:0016021	integral component of membrane [GO:0016021]	LOC106606023
A0A1S3SDM0	A0A1S3SDM0_SALSA	uncharacterized protein LOC106608805			LOC106608805
A0A1S3SES6	A0A1S3SES6_SALSA	cerebellar degeneration-related protein 2-like isoform X1			LOC106609027
A0A1S3SES8	A0A1S3SES8_SALSA	cerebellar degeneration-related protein 2-like isoform X3			LOC106609027
A0A1S3SET1	A0A1S3SET1_SALSA	cerebellar degeneration-related protein 2-like isoform X2			LOC106609027
A0A1S3SE83	A0A1S3SE83_SALSA	GTPase IMAP family member 4-like	GO:0005525; GO:0016021	integral component of membrane [GO:0016021]; GTP binding [GO:0005525]	LOC106608935
A0A1S3SI87	A0A1S3SI87_SALSA	aquaporin-8-like isoform X2	GO:0015267; GO:0016021	integral component of membrane [GO:0016021]; channel activity [GO:0015267]	LOC106609622
S5RRC8	S5RRC8_SALSA	Aquaporin 8aa1 (aquaporin-8-like isoform X1)	GO:0005622; GO:0015250; GO:0015265; GO:0016021; GO:0031410	cytoplasmic vesicle [GO:0031410]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; urea channel activity [GO:0015265]; water channel activity [GO:0015250]	aqp8aa1 LOC106609622
A0A1S3SIY2	A0A1S3SIY2_SALSA	brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 isoform X1	GO:0007009	plasma membrane organization [GO:0007009]	LOC106609807
A0A1S3SJ05	A0A1S3SJ05_SALSA	brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 isoform X2	GO:0007009	plasma membrane organization [GO:0007009]	LOC106609807
A0A1S3SJK5	A0A1S3SJK5_SALSA	cytohesin-3 isoform X2	GO:0005086; GO:0032012	ARF guanyl-nucleotide exchange factor activity [GO:0005086]; regulation of ARF protein signal transduction [GO:0032012]	LOC106609966
A0A1S3SJL3	A0A1S3SJL3_SALSA	cytohesin-3 isoform X1	GO:0005086; GO:0032012	ARF guanyl-nucleotide exchange factor activity [GO:0005086]; regulation of ARF protein signal transduction [GO:0032012]	LOC106609966
A0A1S3SKK9	A0A1S3SKK9_SALSA	dynein intermediate chain 3, ciliary-like			LOC106610195
A0A1S3SNE6	A0A1S3SNE6_SALSA	pecanex-like protein 2 isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC106610792
A0A1S3SNE7	A0A1S3SNE7_SALSA	pecanex-like protein 2 isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC106610792
A0A1S3SNF5	A0A1S3SNF5_SALSA	pecanex-like protein 2 isoform X3	GO:0016021	integral component of membrane [GO:0016021]	LOC106610792
A0A1S3SNG8	A0A1S3SNG8_SALSA	pecanex-like protein 2 isoform X4	GO:0016021	integral component of membrane [GO:0016021]	LOC106610792
A0A1S3SYY6	A0A1S3SYY6_SALSA	bone morphogenetic protein 5-like	GO:0005576; GO:0008083	extracellular region [GO:0005576]; growth factor activity [GO:0008083]	LOC106612672
A0A1S3T428	A0A1S3T428_SALSA	3-hydroxymethyl-3-methylglutaryl-CoA lyase, cytoplasmic-like isoform X1	GO:0004419	hydroxymethylglutaryl-CoA lyase activity [GO:0004419]	LOC106613523
A0A1S3T436	A0A1S3T436_SALSA	3-hydroxymethyl-3-methylglutaryl-CoA lyase, cytoplasmic-like isoform X2	GO:0004419	hydroxymethylglutaryl-CoA lyase activity [GO:0004419]	LOC106613523
A0A1S3T446	A0A1S3T446_SALSA	3-hydroxymethyl-3-methylglutaryl-CoA lyase, cytoplasmic-like isoform X3	GO:0004419	hydroxymethylglutaryl-CoA lyase activity [GO:0004419]	LOC106613523
A0A1S3SY02	A0A1S3SY02_SALSA	CUB and sushi domain-containing protein 1-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106612532
A0A1S3T3Y8	A0A1S3T3Y8_SALSA	membrane-spanning 4-domains subfamily A member 4A-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106613509
A0A1S3SXA5	A0A1S3SXA5_SALSA	phenazine biosynthesis-like domain-containing protein	GO:0003824; GO:0009058	catalytic activity [GO:0003824]; biosynthetic process [GO:0009058]	LOC106612403
A0A1S3SXB0	A0A1S3SXB0_SALSA	DNA replication ATP-dependent helicase/nuclease DNA2	GO:0017108; GO:0017116; GO:0033567	5'-flap endonuclease activity [GO:0017108]; single-stranded DNA helicase activity [GO:0017116]; DNA replication, Okazaki fragment processing [GO:0033567]	dna2
A0A1S3SVS3	A0A1S3SVS3_SALSA	ankyrin repeat and fibronectin type-III domain-containing protein 1 isoform X1			ankfn1
A0A1S3SVU1	A0A1S3SVU1_SALSA	ankyrin repeat and fibronectin type-III domain-containing protein 1 isoform X2			ankfn1
A0A1S3SVU7	A0A1S3SVU7_SALSA	ankyrin repeat and fibronectin type-III domain-containing protein 1 isoform X3			ankfn1
A0A1S3SVV1	A0A1S3SVV1_SALSA	ankyrin repeat and fibronectin type-III domain-containing protein 1 isoform X4			ankfn1
A0A1S3SSR9	A0A1S3SSR9_SALSA	uncharacterized protein LOC106611567	GO:0003777; GO:0005524; GO:0007018; GO:0008017	ATP binding [GO:0005524]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018]	LOC106611567
A0A1S3T560	A0A1S3T560_SALSA	forkhead box protein I2-A-like	GO:0003700; GO:0005634; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	LOC106613714
A0A1S3T5E3	A0A1S3T5E3_SALSA	homeobox protein OTX1 B-like	GO:0003700; GO:0005634; GO:0007275; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; multicellular organism development [GO:0007275]	LOC106613750
A0A1S2X0K6	A0A1S2X0K6_SALSA	serum albumin 1 precursor	GO:0005615; GO:0046872	extracellular space [GO:0005615]; metal ion binding [GO:0046872]	alb1
P21848	ALBU1_SALSA	Serum albumin 1	GO:0005615; GO:0008289; GO:0046872	extracellular space [GO:0005615]; lipid binding [GO:0008289]; metal ion binding [GO:0046872]	alb1
A0A1S3KIZ7	A0A1S3KIZ7_SALSA	formin-2-like			LOC106560310
A0A1S3KK01	A0A1S3KK01_SALSA	formin-2-like			LOC106560350
A0A1S3KQT5	A0A1S3KQT5_SALSA	neutrophil gelatinase-associated lipocalin isoform X2	GO:0036094	small molecule binding [GO:0036094]	lcn2
A0A1S3KR13	A0A1S3KR13_SALSA	neutrophil gelatinase-associated lipocalin isoform X1	GO:0036094	small molecule binding [GO:0036094]	lcn2
A0A1S3KT44	A0A1S3KT44_SALSA	Anthrax toxin receptor	GO:0016021; GO:0038023; GO:0046872	integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; signaling receptor activity [GO:0038023]	LOC106561763
A0A1S3KTA6	A0A1S3KTA6_SALSA	cathepsin S-like			LOC106561959
A0A1S3KUB8	A0A1S3KUB8_SALSA	cathepsin L1-like	GO:0008234	cysteine-type peptidase activity [GO:0008234]	LOC106561955
A0A1S3KTH4	A0A1S3KTH4_SALSA	cathepsin L1-like	GO:0008234	cysteine-type peptidase activity [GO:0008234]	LOC106561951
A0A1S3KTB7	A0A1S3KTB7_SALSA	cathepsin L1-like	GO:0008234	cysteine-type peptidase activity [GO:0008234]	LOC106561968
A0A1S3KTB5	A0A1S3KTB5_SALSA	cathepsin L1-like	GO:0008234	cysteine-type peptidase activity [GO:0008234]	LOC106561975
A0A1S3KVL7	A0A1S3KVL7_SALSA	soluble lamin-associated protein of 75 kDa-like isoform X1 (soluble lamin-associated protein of 75 kDa-like isoform X2)			LOC106562158
A0A1S3KVM2	A0A1S3KVM2_SALSA	soluble lamin-associated protein of 75 kDa-like isoform X3			LOC106562158
A0A1S3KYA3	A0A1S3KYA3_SALSA	Hexosyltransferase (EC 2.4.1.-)	GO:0000139; GO:0006486; GO:0008378; GO:0016021	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; galactosyltransferase activity [GO:0008378]; protein glycosylation [GO:0006486]	LOC106562781
A0A1S3L0N5	A0A1S3L0N5_SALSA	very low-density lipoprotein receptor isoform X2	GO:0005509; GO:0016021; GO:0030229	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; very-low-density lipoprotein particle receptor activity [GO:0030229]	LOC100136429
A0A1S3L0W9	A0A1S3L0W9_SALSA	very low-density lipoprotein receptor isoform X1	GO:0005509; GO:0016021; GO:0030229	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; very-low-density lipoprotein particle receptor activity [GO:0030229]	LOC100136429
A0A1S3L3Q8	A0A1S3L3Q8_SALSA	pikachurin-like	GO:0005509	calcium ion binding [GO:0005509]	LOC106564097
A0A1S3L3L6	A0A1S3L3L6_SALSA	pikachurin-like			LOC106564089
A0A1S3L4M6	A0A1S3L4M6_SALSA	synaptic vesicle 2-related protein-like isoform X3	GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	LOC106564371
A0A1S3L4P3	A0A1S3L4P3_SALSA	synaptic vesicle 2-related protein-like isoform X1	GO:0005887; GO:0022857	integral component of plasma membrane [GO:0005887]; transmembrane transporter activity [GO:0022857]	LOC106564371
A0A1S3L4Q2	A0A1S3L4Q2_SALSA	synaptic vesicle 2-related protein-like isoform X2	GO:0005887; GO:0022857	integral component of plasma membrane [GO:0005887]; transmembrane transporter activity [GO:0022857]	LOC106564371
D2XDG3	D2XDG3_SALSA	Sodium/glucose cotransporter member 1	GO:0016021; GO:0022857	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	SGLT1 sglt1
A0A1S3L9A4	A0A1S3L9A4_SALSA	protein phosphatase 1 regulatory subunit 3C-B-like			LOC106565196
A0A1S3L9T0	A0A1S3L9T0_SALSA	Amine oxidase (EC 1.4.3.-)	GO:0016491	oxidoreductase activity [GO:0016491]	LOC106565287
A0A1S3L9U6	A0A1S3L9U6_SALSA	Amine oxidase (EC 1.4.3.-)	GO:0016491	oxidoreductase activity [GO:0016491]	LOC106565287
A0A1S3L9V1	A0A1S3L9V1_SALSA	Amine oxidase (EC 1.4.3.-)	GO:0016491	oxidoreductase activity [GO:0016491]	LOC106565287
A0A1S3L9W1	A0A1S3L9W1_SALSA	Amine oxidase (EC 1.4.3.-)	GO:0016491	oxidoreductase activity [GO:0016491]	LOC106565287
A0A1S3LB49	A0A1S3LB49_SALSA	Amine oxidase (EC 1.4.3.-)	GO:0016491	oxidoreductase activity [GO:0016491]	LOC106565287
A0A1S3LB54	A0A1S3LB54_SALSA	Amine oxidase (EC 1.4.3.-)	GO:0016491	oxidoreductase activity [GO:0016491]	LOC106565287
A0A1S3LB79	A0A1S3LB79_SALSA	Amine oxidase (EC 1.4.3.-)	GO:0016491	oxidoreductase activity [GO:0016491]	LOC106565287
A0A1S3LB89	A0A1S3LB89_SALSA	Amine oxidase (EC 1.4.3.-)	GO:0016491	oxidoreductase activity [GO:0016491]	LOC106565287
A0A1S3L9Q2	A0A1S3L9Q2_SALSA	leucine-rich repeat transmembrane neuronal protein 4-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106565278
A0A1S3LHU7	A0A1S3LHU7_SALSA	Guanylate cyclase (EC 4.6.1.2)	GO:0004383; GO:0004672; GO:0005524; GO:0016021; GO:0035556	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; guanylate cyclase activity [GO:0004383]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	LOC106566722
A0A1S3LHW1	A0A1S3LHW1_SALSA	Guanylate cyclase (EC 4.6.1.2)	GO:0004383; GO:0004672; GO:0005524; GO:0016021; GO:0035556	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; guanylate cyclase activity [GO:0004383]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]	LOC106566722
A0A1S3LL05	A0A1S3LL05_SALSA	F-box only protein 15-like			LOC106567169
A0A1S3LM66	A0A1S3LM66_SALSA	POU domain protein	GO:0003700; GO:0005634; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	LOC106567323
A0A1S3LM71	A0A1S3LM71_SALSA	POU domain protein	GO:0003700; GO:0005634; GO:0043565	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	LOC106567323
A0A1S3LQM3	A0A1S3LQM3_SALSA	TNF receptor-associated factor (EC 2.3.2.27)	GO:0005164; GO:0005829; GO:0008270; GO:0033209; GO:0042981	cytosol [GO:0005829]; tumor necrosis factor receptor binding [GO:0005164]; zinc ion binding [GO:0008270]; regulation of apoptotic process [GO:0042981]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	LOC106567744
A0A1S3LRX6	A0A1S3LRX6_SALSA	homer protein homolog 1-like isoform X2			LOC106568100
A0A1S3LS09	A0A1S3LS09_SALSA	homer protein homolog 1-like isoform X1			LOC106568100
A0A1S3LSW0	A0A1S3LSW0_SALSA	alpha-2A adrenergic receptor-like isoform X1	GO:0004930; GO:0016021	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	LOC106568289
A0A1S3LSX0	A0A1S3LSX0_SALSA	alpha-2 adrenergic receptor-like isoform X2	GO:0004930; GO:0016021	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	LOC106568289
A0A1S3LUM0	A0A1S3LUM0_SALSA	seizure 6-like protein	GO:0016021	integral component of membrane [GO:0016021]	LOC106568453
A0A1S3LTE9	A0A1S3LTE9_SALSA	Protein-tyrosine sulfotransferase (EC 2.8.2.20)	GO:0006478; GO:0008476	protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	LOC106568446
A0A1S3LTF8	A0A1S3LTF8_SALSA	SCARB1-like protein 2 isoform X3	GO:0016021	integral component of membrane [GO:0016021]	LOC100534606
A0A1S3LTQ2	A0A1S3LTQ2_SALSA	SCARB1-like protein 2 isoform X4	GO:0016021	integral component of membrane [GO:0016021]	LOC100534606
A0A1S3LTQ6	A0A1S3LTQ6_SALSA	SCARB1-like protein 2 isoform X1	GO:0016021	integral component of membrane [GO:0016021]	LOC100534606
A0A1S3LTR1	A0A1S3LTR1_SALSA	SCARB1-like protein 2 isoform X2	GO:0016021	integral component of membrane [GO:0016021]	LOC100534606
E9N3T5	E9N3T5_SALSA	SCARB1-like protein 2	GO:0016021	integral component of membrane [GO:0016021]	LOC100534606
A0A1S3LZI0	A0A1S3LZI0_SALSA	KN motif and ankyrin repeat domain-containing protein 1-like			LOC106569472
A0A1S3M015	A0A1S3M015_SALSA	uncharacterized protein LOC106569438	GO:0016021	integral component of membrane [GO:0016021]	LOC106569438
A0A1S3LYX0	A0A1S3LYX0_SALSA	SEC14-like protein 2			LOC106569318
A0A1S3M3X5	A0A1S3M3X5_SALSA	Metalloendopeptidase (EC 3.4.24.-)	GO:0004222; GO:0008270	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	LOC106570186
A0A1S3M2X1	A0A1S3M2X1_SALSA	UDP-glucuronosyltransferase (EC 2.4.1.17)	GO:0015020; GO:0016021	integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020]	LOC106569965
A0A1S3M2G5	A0A1S3M2G5_SALSA	endophilin-B2 isoform X2	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M2I2	A0A1S3M2I2_SALSA	endophilin-B2 isoform X4	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M2I5	A0A1S3M2I5_SALSA	endophilin-B2 isoform X1	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M2K2	A0A1S3M2K2_SALSA	endophilin-B2 isoform X3	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
A0A1S3M2L5	A0A1S3M2L5_SALSA	endophilin-B2 isoform X5	GO:0005737	cytoplasm [GO:0005737]	sh3glb2
